logTime,군서배수지_유량,hour,weekday,is_holiday,is_weekend
2018-01-24 01:00:00,37,1,2,False,False
2018-01-24 02:00:00,38,2,2,False,False
2018-01-24 03:00:00,37,3,2,False,False
2018-01-24 04:00:00,42,4,2,False,False
2018-01-24 05:00:00,46,5,2,False,False
2018-01-24 06:00:00,47,6,2,False,False
2018-01-24 07:00:00,55,7,2,False,False
2018-01-24 08:00:00,61,8,2,False,False
2018-01-24 09:00:00,67,9,2,False,False
2018-01-24 10:00:00,67,10,2,False,False
2018-01-24 11:00:00,64,11,2,False,False
2018-01-24 12:00:00,74,12,2,False,False
2018-01-24 13:00:00,59,13,2,False,False
2018-01-24 14:00:00,52,14,2,False,False
2018-01-24 15:00:00,50,15,2,False,False
2018-01-24 16:00:00,56,16,2,False,False
2018-01-24 17:00:00,60,17,2,False,False
2018-01-24 18:00:00,62,18,2,False,False
2018-01-24 19:00:00,55,19,2,False,False
2018-01-24 20:00:00,47,20,2,False,False
2018-01-24 21:00:00,46,21,2,False,False
2018-01-24 22:00:00,43,22,2,False,False
2018-01-24 23:00:00,42,23,2,False,False
2018-01-25 00:00:00,39,0,3,False,False
2018-01-25 01:00:00,38,1,3,False,False
2018-01-25 02:00:00,38,2,3,False,False
2018-01-25 03:00:00,38,3,3,False,False
2018-01-25 04:00:00,37,4,3,False,False
2018-01-25 05:00:00,39,5,3,False,False
2018-01-25 06:00:00,44,6,3,False,False
2018-01-25 07:00:00,64,7,3,False,False
2018-01-25 08:00:00,65,8,3,False,False
2018-01-25 09:00:00,72,9,3,False,False
2018-01-25 10:00:00,76,10,3,False,False
2018-01-25 11:00:00,70,11,3,False,False
2018-01-25 12:00:00,65,12,3,False,False
2018-01-25 13:00:00,59,13,3,False,False
2018-01-25 14:00:00,59,14,3,False,False
2018-01-25 15:00:00,57,15,3,False,False
2018-01-25 16:00:00,58,16,3,False,False
2018-01-25 17:00:00,57,17,3,False,False
2018-01-25 18:00:00,58,18,3,False,False
2018-01-25 19:00:00,55,19,3,False,False
2018-01-25 20:00:00,52,20,3,False,False
