logTime,경기동남권_광역 성남 공도(배) 유출 유량 적산차,경기동남권_광역 성남 원곡(배) 유출 유량 적산차,hour,weekday,is_weekend,is_holiday
2020-01-19 22:00:00,346.0,489.0,22,6,True,False
2020-01-19 23:00:00,382.0,444.0,23,6,True,False
2020-01-20 00:00:00,212.0,461.0,0,0,False,False
2020-01-20 01:00:00,180.0,252.0,1,0,False,False
2020-01-20 02:00:00,124.0,183.0,2,0,False,False
2020-01-20 03:00:00,10.0,149.0,3,0,False,False
2020-01-20 04:00:00,26.0,138.0,4,0,False,False
2020-01-20 05:00:00,56.0,144.0,5,0,False,False
2020-01-20 06:00:00,74.0,171.0,6,0,False,False
2020-01-20 07:00:00,40.0,220.0,7,0,False,False
2020-01-20 08:00:00,64.0,466.0,8,0,False,False
2020-01-20 09:00:00,120.0,522.0,9,0,False,False
2020-01-20 10:00:00,158.0,421.0,10,0,False,False
2020-01-20 11:00:00,72.0,368.0,11,0,False,False
2020-01-20 12:00:00,156.0,356.0,12,0,False,False
2020-01-20 13:00:00,436.0,407.0,13,0,False,False
2020-01-20 14:00:00,260.0,447.0,14,0,False,False
2020-01-20 15:00:00,242.0,506.0,15,0,False,False
2020-01-20 16:00:00,336.0,450.0,16,0,False,False
2020-01-20 17:00:00,342.0,521.0,17,0,False,False
2020-01-20 18:00:00,140.0,486.0,18,0,False,False
2020-01-20 19:00:00,72.0,444.0,19,0,False,False
2020-01-20 20:00:00,144.0,426.0,20,0,False,False
2020-01-20 21:00:00,212.0,415.0,21,0,False,False
2020-01-20 22:00:00,304.0,398.0,22,0,False,False
2020-01-20 23:00:00,428.0,369.0,23,0,False,False
2020-01-21 00:00:00,344.0,239.0,0,1,False,False
2020-01-21 01:00:00,272.0,291.0,1,1,False,False
2020-01-21 02:00:00,186.0,406.0,2,1,False,False
2020-01-21 03:00:00,18.0,170.0,3,1,False,False
2020-01-21 04:00:00,8.0,145.0,4,1,False,False
2020-01-21 05:00:00,0.0,155.0,5,1,False,False
2020-01-21 06:00:00,8.0,188.0,6,1,False,False
2020-01-21 07:00:00,62.0,340.0,7,1,False,False
2020-01-21 08:00:00,66.0,610.0,8,1,False,False
